排名,电影名,导演,编剧,发行地区,公司,更多片名
1,千与千寻( 2001 ),宫崎骏,宫崎骏,日本,东宝国际,神隐少女
2,新世纪福音战士新剧场版：破( 2009 ),摩砂雪,庵野秀明,日本,Klock Worx Co.,福音战士新剧场版：破
3,龙猫( 1988 ),宫崎骏,宫崎骏,日本,东宝国际,隔壁的特特罗
4,天空之城( 1986 ),宫崎骏,宫崎骏,日本,Toei,[]
5,幽灵公主( 1997 ),宫崎骏,宫崎骏,日本,米拉麦克斯影业公司,魔法公主
6,风之谷( 1984 ),宫崎骏,宫崎骏,日本,Toei Inc.,[]
7,未麻的部屋( 1997 ),今敏,竹内义和,日本,Metropolitan Filmexport,完美恐惧
8,哈尔的移动城堡( 2004 ),宫崎骏,宫崎骏,日本,东宝国际,呼啸山城
9,借东西的小人阿莉埃蒂( 2010 ),米林宏昌,玛丽·诺顿,日本,Atlantis Entertainment,借物少女艾莉缇
10,萤火虫之墓( 1988 ),高畑勋,野坂昭如,日本,东宝国际,再见萤火虫
11,红辣椒( 2006 ),今敏,筒井康隆,日本,索尼经典,帕布莉卡
12,侧耳倾听( 1995 ),近藤喜文,柊葵,日本,Buena Vista Home Video (BVHV),梦幻街少女
13,夏日大作战( 2009 ),细田守,细田守,日本,华纳兄弟公司,[]
14,千年女优( 2001 ),今敏,今敏,日本,The Klock Worx Company Ltd.,[]
15,攻壳机动队( 1995 ),押井守,伊藤和典,日本,Metrodome Distribution,[]
16,东京教父( 2003 ),今敏,今敏,日本,Columbia TriStar Films de Argentina,[]
17,吸血鬼猎人D( 2000 ),川尻善昭,川尻善昭,日本,Rapid Eye Movies,[]
18,攻壳机动队2：无罪( 2004 ),押井守,士郎正宗,日本,United International Pictures (UIP),攻壳机动队2 无罪
19,回忆三部曲( 1995 ),森本晃司,今敏,日本,LK-TEL,追忆
20,心灵游戏( 2004 ),汤浅政明,Robin Nishi,日本,Madhouse Studios,[]
21,秒速5厘米( 2007 ),新海诚,新海诚,日本,CoMix Wave Inc. [jp],秒速5公分
22,穿越时空的少女( 2006 ),细田守,筒井康隆,日本,Kadokawa Herald Pictures,跳跃吧！时空少女
23,岁月的童话( 1991 ),高畑勋,高畑勋,日本,RUSCICO,童年的点点滴滴
24,新世纪福音战士新剧场版：序( 2007 ),鹤卷和哉,庵野秀明,日本,The Klock Worx Company Ltd.,福音战士新剧场版：序
25,河童之夏( 2007 ),原惠一,原惠一,日本,松竹映画,跟河童小酷的暑假时光
26,我的邻居山田君( 1999 ),高畑勋,Hisaichi Ishii,日本,松竹映画,邻居的山田君
27,意外的幸运签( 2010 ),原惠一,森绘都,日本,东宝国际,[]
28,人狼( 1999 ),冲浦启之,押井守,日本,Bandai Visual Co. Ltd.,[]
29,你的名字。( 2016 ),新海诚,新海诚,日本,华夏电影发行有限责任公司,君の名は。
30,魔女宅急便( 1989 ),宫崎骏,宫崎骏,日本,东映株式会社,[]
31,红猪( 1992 ),宫崎骏,宫崎骏,日本,Buena Vista Home Video (BVHV),飞天红猪侠
32,言语之庭( 2013 ),新海诚,新海诚,日本,东宝国际,语言之庭
33,狼之子雨与雪( 2012 ),细田守,奥寺佐渡子,日本,东宝株式会社,狼的孩子雨和雪
34,萤火之森( 2011 ),大森贵弘,绿川幸,日本,Aniplex,萤火之社
35,光明战士阿基拉( 1988 ),大友克洋,大友克洋,日本,东宝国际,亚基拉
36,辉夜姬物语( 2013 ),高畑勋,高畑勋,日本,GKIDS,辉耀姬物语
37,大都会( 2001 ),林太郎,手冢治虫,日本,Keyfilms Roma,[]
38,星际牛仔：天国之扉( 2001 ),渡边信一郎,信本敬子,日本,帝门影片公司,天国之扉
39,悬崖上的金鱼姬( 2008 ),宫崎骏,宫崎骏,日本,东宝国际,崖上的波妞
40,起风了( 2013 ),宫崎骏,宫崎骏,日本,东宝国际,风起
41,恶童( 2006 ),迈克尔·艾里亚斯,松本大洋,日本,Asmik Ace Entertainment,恶童当街
42,翡翠森林-狼与羊( 2005 ),杉井仪三郎,木村祐一,日本,德间书店,暴风雨夜
43,龙子太郎( 1979 ),浦山桐郎,松谷美代子,日本,Discotek Media,[]
44,听到涛声( 1993 ),望月智充,Saeko Himuro,日本,吉卜力工作室,海潮之声
45,异邦人：无皇刃谭( 2007 ),安藤真裕,高山文彦,日本,Bandai Entertainment Inc.,[]
46,超时空要塞：可曾记得爱( 1984 ),石黑升,河森正治,日本,东宝株式会社,超時空要塞
47,兽兵卫忍风帖( 1993 ),川尻善昭,川尻善昭,日本,A-Film Home Entertainment,兽兵卫忍风贴
48,犬夜叉：超越时代的思念( 2001 ),筱原俊哉,高桥留美子,日本,Cartoon Network,[]
49,造梦机器( 2010 ),今敏,今敏,日本,Mad House Ltd.,梦中机器
50,森林大帝( 1997 ),竹内启雄,手冢治虫,日本,Gébéka Films,[]
51,哆啦A梦：伴我同行( 2014 ),八木龙一,藤子·F·不二雄,日本,东宝国际,机器猫
52,名侦探柯南1997：引爆摩天楼( 1997 ),儿玉兼嗣,青山刚昌,日本,FUNimation Productions Ltd.,名侦探柯南：剧场版第1部
53,追逐星星的孩子( 2011 ),新海诚,新海诚,日本,Media Factory,追逐繁星的孩子
54,空中杀手( 2008 ),押井守,森博嗣,日本,华纳兄弟公司,青空の行者
55,春宵苦短，少女前进吧！( 2017 ),汤浅政明,森见登美彦,日本,东宝国际,[]
56,赤足小子( 1983 ),真崎守,中泽启治,日本,Tara Releasing,[]
